linha,codigo_linha,circular,sentido,letreiro_ida,letreiro_volta,id_veiculo,acessivel,latitude,longitude,data_hora
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11510,true,-23.52310275,-46.650748875,2019-04-22T00:47:21.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.475787,-46.671473500000005,2019-04-22T00:51:48.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.533041125,-46.644789875,2019-04-22T00:51:38.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T00:51:36.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.494551,-46.677898,2019-04-22T00:51:27.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11510,true,-23.533115,-46.6448975,2019-04-22T00:51:52.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.4742495,-46.669781,2019-04-22T00:55:33.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.523036375,-46.653642875,2019-04-22T00:55:55.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T00:55:22.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.50622625,-46.67333725,2019-04-22T00:55:57.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11510,true,-23.542982000000002,-46.637048,2019-04-22T00:55:57.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.475099999999998,-46.6702795,2019-04-22T00:59:18.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.521528500000002,-46.666227,2019-04-22T00:59:42.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T00:59:51.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.542265,-46.6357135,2019-04-22T00:59:57.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.511584,-46.666284499999996,2019-04-22T00:59:43.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.509753500000002,-46.6658945,2019-04-22T01:04:00.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:03:37.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.541061499999998,-46.638730625,2019-04-22T01:03:52.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.47480625,-46.66819687499999,2019-04-22T01:03:49.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.52232475,-46.661905749999995,2019-04-22T01:03:45.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.505480499999997,-46.672182,2019-04-22T01:07:57.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:07:22.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.533041125,-46.644789875,2019-04-22T01:07:58.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.4838035,-46.673826,2019-04-22T01:07:34.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.526098375000004,-46.6488655,2019-04-22T01:07:59.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.5009845,-46.6735695,2019-04-22T01:11:43.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.4747275,-46.670029,2019-04-22T01:11:53.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.523695250000003,-46.650089,2019-04-22T01:11:23.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.496711499999996,-46.67644475,2019-04-22T01:11:18.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.5356933125,-46.643038437499996,2019-04-22T01:11:45.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.489724000000002,-46.675415,2019-04-22T01:15:28.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.4742495,-46.669781,2019-04-22T01:15:37.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.5219538125,-46.663431812499994,2019-04-22T01:15:54.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.50468325,-46.67281975,2019-04-22T01:15:50.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.542741999999997,-46.637777,2019-04-22T01:15:38.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.477003500000002,-46.6725285,2019-04-22T01:20:00.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:19:24.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.510793,-46.66605,2019-04-22T01:19:39.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.5100645,-46.666063,2019-04-22T01:19:35.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11513,true,-23.5425,-46.63587750000001,2019-04-22T01:19:59.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.540870499999997,-46.638455875,2019-04-22T01:23:52.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11511,true,-23.4742495,-46.669781,2019-04-22T01:23:43.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:23:54.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.50497125,-46.67291575,2019-04-22T01:23:24.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.521538,-46.667262,2019-04-22T01:23:50.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.5371285,-46.641882875,2019-04-22T01:27:31.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:27:39.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.4946505,-46.6775605,2019-04-22T01:27:55.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.52310275,-46.650748875,2019-04-22T01:27:51.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.474276500000002,-46.668260875,2019-04-22T01:27:29.000Z
